이름,선거구,선거구명,종류,회,기호,남여,정당,연령,직업,여당평가,당선여부,득표율,지역구분
김영종,서울,종로구,구시군의장선거,7,1,남,rev,64,,74.43499999999997,True,,3
이숙연,서울,종로구,구시군의장선거,7,2,여,con,57,정당인,74.43499999999997,False,,3
김복동,서울,종로구,구시군의장선거,7,3,남,con,68,정당인,74.43499999999997,False,,3
서양호,서울,중구,구시군의장선거,7,1,남,rev,50,정당인,74.43499999999997,True,,2
최창식,서울,중구,구시군의장선거,7,2,남,con,66,,74.43499999999997,False,,2
정동일,서울,중구,구시군의장선거,7,3,남,rev,63,,74.43499999999997,False,,2
성장현,서울,용산구,구시군의장선거,7,1,남,rev,63,,74.43499999999997,True,,1
김경대,서울,용산구,구시군의장선거,7,2,남,con,46,,74.43499999999997,False,,1
박홍엽,서울,용산구,구시군의장선거,7,3,남,con,75,,74.43499999999997,False,,1
정원오,서울,성동구,구시군의장선거,7,1,남,rev,49,,74.43499999999997,True,,2
정찬옥,서울,성동구,구시군의장선거,7,2,남,con,63,,74.43499999999997,False,,2
안성규,서울,성동구,구시군의장선거,7,3,남,con,46,,74.43499999999997,False,,2
김선갑,서울,광진구,구시군의장선거,7,1,남,rev,57,정당인,74.43499999999997,True,,2
전지명,서울,광진구,구시군의장선거,7,2,남,con,65,정당인,74.43499999999997,False,,2
김홍준,서울,광진구,구시군의장선거,7,3,남,con,59,정당인,74.43499999999997,False,,2
유덕열,서울,,구시군의장선거,7,1,남,rev,63,,74.43499999999997,True,,2
신재학,서울,동대문구,구시군의장선거,7,2,남,con,66,,74.43499999999997,False,,2
백금산,,동대문구,구시군의장선거,7,3,남,con,60,정당인,74.43499999999997,False,,2
문기진,서울,동대문구,구시군의장선거,7,3,남,rev,55,,74.43499999999997,False,,2
류경기,서울,중랑구,구시군의장선거,7,1,남,rev,56,정당인,74.43499999999997,True,,3
나진구,서울,중랑구,구시군의장선거,7,2,남,con,65,,74.43499999999997,False,,3
이승로,서울,성북구,구시군의장선거,7,1,남,rev,58,정당인,74.43499999999997,True,,2
민병웅,서울,성북구,구시군의장선거,7,2,남,con,51,정당인,74.43499999999997,False,,2
노승국,서울,성북구,구시군의장선거,7,3,남,con,48,정당인,74.43499999999997,False,,2
박춘림,서울,성북구,구시군의장선거,7,3,여,rev,,정당인,74.43499999999997,False,,
박겸수,서울,강북구,구시군의장선거,7,1,남,rev,58,,74.43499999999997,True,,2
이성희,서울,강북구,구시군의장선거,7,2,남,con,61,정당인,74.43499999999997,False,,2
채수창,서울,강북구,구시군의장선거,7,,남,con,56,정당인,74.43499999999997,False,,2
선계선,서울,강북구,구시군의장선거,7,3,남,rem,63,,74.43499999999997,False,,2
이동진,서울,도봉구,구시군의장선거,7,1,남,rev,57,,74.43499999999997,True,,2
이재범,서울,도봉구,구시군의장선거,7,,남,con,62,,74.43499999999997,False,,2
오승록,서울,노원구,구시군의장선거,7,1,남,rev,48,정당인,74.43499999999997,True,,2
임재혁,서울,노원구,구시군의장선거,7,,남,con,58,,74.43499999999997,False,,2
양건모,서울,노원구,구시군의장선거,7,3,여,con,55,정당인,74.43499999999997,False,,2
한덕희,,노원구,구시군의장선거,7,3,남,rev,55,정당인,74.43499999999997,False,,2
김미경,서울,은평구,구시군의장선거,7,1,여,rev,52,정당인,74.43499999999997,True,,2
홍인정,서울,은평구,구시군의장선거,7,2,여,con,48,,74.43499999999997,False,,2
이익주,서울,은평구,구시군의장선거,7,3,남,con,58,정당인,74.43499999999997,False,,2
문석진,서울,서대문구,구시군의장선거,7,1,남,rev,62,,,True,,2
안형준,서울,서대문구,구시군의장선거,7,2,남,con,61,,74.43499999999997,False,,2
이은석,서울,서대문구,구시군의장선거,7,3,남,con,59,정당인,74.43499999999997,False,,2
유동균,서울,마포구,구시군의장선거,7,1,남,rev,55,정당인,74.43499999999997,True,,2
박강수,서울,마포구,구시군의장선거,7,2,남,,59,정당인,74.43499999999997,False,,2
조용술,서울,마포구,구시군의장선거,7,3,남,con,36,정당인,74.43499999999997,False,,2
홍성문,서울,마포구,구시군의장선거,7,3,남,rev,57,정당인,74.43499999999997,False,,2
윤성일,서울,마포구,구시군의장선거,7,3,남,rev,42,,74.43499999999997,False,,2
김수영,서울,양천구,구시군의장선거,7,1,여,rev,53,,74.43499999999997,True,,3
강웅원,서울,양천구,구시군의장선거,7,2,남,con,57,정당인,,False,,3
,서울,양천구,구시군의장선거,7,3,,con,62,정당인,74.43499999999997,False,,3
양성윤,서울,양천구,구시군의장선거,7,3,남,rev,53,정당인,74.43499999999997,False,,3
염동옥,서울,양천구,구시군의장선거,7,3,남,rem,55,,74.43499999999997,False,,3
노현송,서울,강서구,구시군의장선거,7,1,남,rev,64,,74.43499999999997,True,,2
김태성,서울,강서구,구시군의장선거,7,2,남,con,51,,74.43499999999997,False,,2
김용성,서울,강서구,구시군의장선거,7,3,남,con,59,정당인,74.43499999999997,False,,2
백철,서울,강서구,구시군의장선거,7,3,남,rem,61,,74.43499999999997,False,,2
이성,서울,구로구,구시군의장선거,7,1,,rev,61,,74.43499999999997,True,,
강요식,서울,구로구,구시군의장선거,7,2,남,con,56,정당인,74.43499999999997,False,,2
이종규,서울,구로구,구시군의장선거,7,3,남,con,54,정당인,74.43499999999997,False,,2
유성훈,서울,금천구,구시군의장선거,7,1,남,rev,55,정당인,74.43499999999997,True,,2
강구덕,서울,금천구,구시군의장선거,7,2,남,con,59,정당인,74.43499999999997,False,,2
안영배,서울,금천구,구시군의장선거,7,3,남,con,51,,74.43499999999997,False,,2
채현일,서울,영등포구,구시군의장선거,7,1,남,rev,47,정당인,74.43499999999997,True,,3
김춘수,서울,영등포구,구시군의장선거,7,2,남,con,68,정당인,74.43499999999997,False,,3
양창호,서울,영등포구,구시군의장선거,7,3,남,con,50,정당인,74.43499999999997,False,,3
정재민,서울,영등포구,구시군의장선거,7,3,남,rev,37,,74.43499999999997,False,,3
조길형,서울,영등포구,구시군의장선거,7,3,남,rem,61,,74.43499999999997,False,,3
이창우,서울,동작구,구시군의장선거,7,1,남,rev,47,,74.43499999999997,True,,3
홍운철,서울,동작구,구시군의장선거,7,2,남,con,67,정당인,74.43499999999997,False,,3
장진영,서울,동작구,구시군의장선거,7,3,남,con,46,,74.43499999999997,False,,3
박준희,서울,관악구,구시군의장선거,7,1,남,rev,54,,74.43499999999997,True,,2
홍희영,서울,관악구,구시군의장선거,7,2,남,con,59,정당인,74.43499999999997,False,,2
이행자,서울,관악구,구시군의장선거,7,3,여,con,,정당인,74.43499999999997,False,,2
김희철,서울,관악구,구시군의장선거,7,3,남,rev,70,정당인,74.43499999999997,False,,2
이정근,,서초구,구시군의장선거,7,1,여,rev,55,정당인,74.43499999999997,False,,1
조은희,서울,서초구,구시군의장선거,7,2,여,con,57,,74.43499999999997,True,,1
,서울,서초구,구시군의장선거,7,3,남,con,50,정당인,74.43499999999997,False,,1
조순형,서울,서초구,구시군의장선거,7,3,남,rev,74,정당인,74.43499999999997,False,,1
정순균,서울,강남구,구시군의장선거,7,1,남,rev,66,정당인,74.43499999999997,True,,1
장영철,서울,강남구,구시군의장선거,7,2,남,con,62,정당인,74.43499999999997,False,,1
김상채,서울,강남구,구시군의장선거,7,3,남,con,51,,74.43499999999997,False,,1
이주영,서울,강남구,구시군의장선거,,3,여,rem,27,,74.43499999999997,False,,1
김광종,서울,강남구,구시군의장선거,7,3,남,rem,55,,74.43499999999997,False,,1
박성수,서울,송파구,구시군의장선거,7,1,남,rev,53,,74.43499999999997,True,,1
박춘희,서울,송파구,구시군의장선거,7,2,여,con,63,,74.43499999999997,False,,1
,서울,송파구,구시군의장선거,,3,남,con,63,,74.43499999999997,False,,1
이정훈,서울,강동구,구시군의장선거,7,1,남,rev,50,정당인,74.43499999999997,True,,1
임동규,서울,강동구,구시군의장선거,7,2,남,con,73,,74.43499999999997,False,,1
박홍기,서울,강동구,구시군의장선거,7,3,남,con,64,정당인,74.43499999999997,False,,1
윤종서,부산,중구,구시군의장선거,7,1,남,rev,44,,74.43499999999997,True,,1
최진봉,부산,중구,구시군의장선거,7,2,남,con,63,,74.43499999999997,False,,1
오경석,부산,중구,구시군의장선거,7,3,남,con,53,정당인,74.43499999999997,False,,1
금봉달,부산,중구,구시군의장선거,7,3,남,rem,58,,74.43499999999997,False,,1
정진영,부산,서구,,7,1,남,rev,55,,74.43499999999997,False,,1
공한수,부산,서구,구시군의장선거,7,2,남,con,58,정당인,74.43499999999997,True,,1
김만근,부산,서구,구시군의장선거,7,3,남,rem,57,,74.43499999999997,False,,1
유승우,부산,서구,구시군의장선거,,3,,rem,53,,74.43499999999997,False,,1
최형욱,부산,동구,구시군의장선거,7,1,남,rev,60,정당인,74.43499999999997,True,,1
박삼석,부산,동구,구시군의장선거,7,2,남,con,68,,74.43499999999997,False,,1
김철훈,부산,영도구,구시군의장선거,7,1,남,rev,58,,74.43499999999997,True,,1
황보승희,부산,영도구,구시군의장선거,7,2,여,con,41,정당인,74.43499999999997,False,,1
안성민,부산,영도구,구시군의장선거,7,3,남,con,56,정당인,74.43499999999997,False,,1
서은숙,부산,부산진구,구시군의장선거,7,,여,rev,50,정당인,74.43499999999997,True,,1
김영욱,부산,부산진구,구시군의장선거,7,2,남,con,51,정당인,74.43499999999997,False,,1
이덕욱,부산,부산진구,구시군의장선거,7,3,남,con,51,,74.43499999999997,,,1
정해정,부산,부산진구,구시군의장선거,7,3,남,rev,57,,74.43499999999997,False,,1
이종율,부산,부산진구,구시군의장선거,7,3,남,rem,51,,74.43499999999997,False,,1
