이름,위치,선거구
0,서울,중랑구
0,서울,중랑구
2,,중랑구
0,,중랑구
2,서울,중랑구
2,서울,중랑구
0,서울,
0,서울,중랑구
2,서울,중랑구
0,서울,성북구
0,서울,성북구
0,서울,성북구
0,서울,
1,서울,성북구
0,서울,성북구
0,서울,
0,,성북구
0,,성북구
0,서울,성북구
1,서울,
0,서울,성북구
0,서울,
0,서울,성북구
1,서울,성북구
0,서울,성북구
1,서울,성북구
0,서울,성북구
0,서울,성북구
0,서울,성북구
0,서울,
1,서울,성북구
0,서울,성북구
0,,성북구
0,서울,성북구
0,서울,성북구
0,서울,성북구
0,서울,성북구
2,서울,성북구
0,서울,성북구
2,서울,성북구
1,서울,성북구
0,서울,성북구
2,서울,성북구
0,서울,성북구
0,서울,성북구
0,서울,성북구
0,서울,성북구
0,서울,
1,서울,강북구
0,서울,강북구
0,서울,강북구
1,서울,강북구
1,서울,강북구
0,서울,강북구
0,서울,강북구
0,서울,강북구
0,서울,
1,서울,강북구
0,서울,강북구
0,서울,강북구
0,서울,강북구
1,서울,강북구
0,서울,강북구
1,서울,강북구
1,서울,강북구
1,서울,강북구
1,서울,강북구
0,서울,강북구
0,서울,강북구
0,서울,
0,서울,강북구
0,서울,강북구
0,서울,강북구
0,서울,강북구
0,서울,강북구
1,서울,도봉구
1,서울,도봉구
0,서울,도봉구
1,서울,도봉구
0,서울,도봉구
2,서울,도봉구
0,서울,도봉구
0,서울,도봉구
0,서울,도봉구
0,서울,도봉구
0,서울,도봉구
0,서울,도봉구
0,서울,도봉구
0,서울,도봉구
0,서울,도봉구
1,서울,
1,서울,도봉구
0,서울,도봉구
1,서울,도봉구
1,서울,도봉구
0,서울,도봉구
0,서울,도봉구
0,서울,도봉구
0,서울,도봉구
0,서울,도봉구
1,서울,도봉구
0,서울,도봉구
2,서울,도봉구
0,서울,도봉구
0,,노원구
0,서울,노원구
0,서울,노원구
0,서울,노원구
0,서울,노원구
0,서울,노원구
0,서울,노원구
0,서울,노원구
2,서울,노원구
1,서울,
0,서울,노원구
0,서울,노원구
0,서울,노원구
1,서울,노원구
0,서울,노원구
0,서울,노원구
0,서울,노원구
1,서울,노원구
1,서울,노원구
0,서울,노원구
1,서울,노원구
1,서울,노원구
0,서울,노원구
1,서울,노원구
1,서울,노원구
0,서울,노원구
0,서울,노원구
0,서울,노원구
0,서울,노원구
0,서울,노원구
1,서울,노원구
0,서울,노원구
1,,노원구
2,서울,노원구
0,서울,
0,서울,노원구
0,서울,노원구
1,서울,노원구
0,서울,노원구
0,서울,
0,,은평구
0,서울,은평구
0,서울,은평구
2,서울,은평구
0,서울,은평구
0,서울,은평구
0,서울,은평구
0,서울,
0,서울,은평구
2,서울,은평구
0,,
0,서울,은평구
0,서울,은평구
1,서울,은평구
0,서울,은평구
0,서울,은평구
0,서울,은평구
0,서울,은평구
0,서울,은평구
0,서울,은평구
0,서울,은평구
2,서울,은평구
0,서울,은평구
0,서울,은평구
0,서울,은평구
0,서울,은평구
0,서울,은평구
0,서울,은평구
0,서울,은평구
1,서울,서대문구
0,서울,서대문구
0,서울,서대문구
1,서울,서대문구
1,서울,서대문구
0,서울,서대문구
0,서울,서대문구
1,서울,서대문구
0,서울,서대문구
0,서울,서대문구
0,서울,
0,서울,서대문구
0,서울,서대문구
0,서울,서대문구
0,서울,서대문구
0,서울,서대문구
0,서울,서대문구
1,서울,서대문구
0,서울,서대문구
0,서울,서대문구
0,서울,서대문구
0,서울,서대문구
1,서울,마포구
0,서울,마포구
1,,마포구
0,서울,마포구
0,서울,마포구
0,서울,마포구
0,서울,마포구
0,서울,마포구
1,서울,
0,서울,마포구
0,서울,마포구
0,서울,마포구
0,,마포구
2,서울,마포구
0,서울,마포구
0,서울,마포구
1,서울,마포구
0,서울,마포구
0,서울,마포구
0,서울,마포구
0,서울,마포구
0,서울,마포구
0,서울,마포구
0,서울,마포구
0,서울,마포구
0,서울,마포구
0,서울,마포구
0,서울,마포구
0,서울,마포구
0,서울,마포구
0,서울,마포구
1,서울,마포구
0,서울,양천구
0,서울,양천구
0,서울,양천구
0,서울,양천구
0,서울,양천구
0,서울,
0,서울,
0,서울,양천구
1,서울,양천구
1,서울,양천구
0,서울,양천구
0,서울,양천구
1,서울,양천구
0,서울,양천구
1,,양천구
0,서울,양천구
0,서울,양천구
0,서울,양천구
2,서울,양천구
0,서울,양천구
0,서울,양천구
1,서울,양천구
1,서울,양천구
0,서울,양천구
0,서울,
0,서울,양천구
0,서울,양천구
0,서울,
0,서울,강서구
0,서울,강서구
1,서울,강서구
0,서울,강서구
0,서울,강서구
0,서울,강서구
1,서울,강서구
0,서울,강서구
0,서울,강서구
0,서울,강서구
0,서울,강서구
0,서울,강서구
0,서울,강서구
0,서울,강서구
2,서울,강서구
0,서울,
0,서울,강서구
0,서울,강서구
0,서울,강서구
0,서울,강서구
0,서울,강서구
0,서울,강서구
0,서울,강서구
0,서울,강서구
0,서울,강서구
0,,
1,서울,강서구
1,,강서구
0,,강서구
0,서울,강서구
0,서울,강서구
1,서울,강서구
0,서울,
0,서울,강서구
0,서울,강서구
0,서울,강서구
0,서울,구로구
0,서울,구로구
0,서울,구로구
0,,구로구
0,서울,구로구
0,서울,구로구
0,,구로구
0,서울,구로구
2,서울,구로구
0,서울,구로구
0,,구로구
0,서울,구로구
0,서울,구로구
1,서울,구로구
0,서울,구로구
0,서울,구로구
0,서울,구로구
0,서울,구로구
1,서울,구로구
0,서울,구로구
0,서울,구로구
0,서울,구로구
0,서울,구로구
0,서울,구로구
0,서울,구로구
