이름,위치,선거구,회,몇번,gender,정당,나이,job,당시여당평가,당선,득표율,학력,과,경력,인지,지역구분
박남규,서울,노원구,5,3,남,rem,56,,47.25,False,-2.440819293738493,,,True,0.003844657822835522,2
원기복,서울,노원구,5,3,남,con,51,,47.25,True,-0.9020327455334576,,,False,1.1238264489253786e-05,2
우진철,서울,노원구,5,3,남,con,34,,,False,-1.947383717198176,,,False,0.0002119480080157376,2
김운종,서울,노원구,5,3,남,rev,57,정당인,47.25,False,-1.3301246601846946,,,False,7.629237220179652e-05,2
김치환,서울,노원구,5,3,남,rev,51,,47.25,False,-1.2535915833749842,,경영,False,0.0007870669823495563,2
장시정,서울,노원구,5,3,남,rev,34,정당인,,,-3.720359423077708,,,True,0.000200739934249382,2
이영섭,서울,노원구,5,3,남,rem,63,,47.25,False,-3.4137828333216413,,,True,0.00425673958609484,2
서진아,서울,노원구,5,3,여,rem,45,,47.25,False,-2.662683564780667,,,False,0.0037740614792013977,2
이한국,서울,노원구,5,1,남,con,39,,47.25,True,-0.7998104825031682,,,False,0.0024252632865762037,2
송인기,서울,노원구,5,3,남,rev,56,정당인,47.25,False,-0.9094775506407534,,,False,0.00023345053711635048,2
이훈,서울,노원구,5,3,남,rev,50,,47.25,False,-1.591857343354225,,,False,0.4459822874035424,2
김옥규,서울,노원구,5,3,여,rev,33,정당인,47.25,False,-1.2784564065732564,,,False,7.397196855366723e-05,2
이상례,서울,노원구,5,3,여,con,45,정당인,47.25,True,-1.0639095262311489,,,False,3.5860821825671953e-05,2
조관희,,노원구,5,3,남,con,38,,47.25,False,-1.4490059402155238,,,False,0.0005827830563062744,2
황동성,서울,노원구,5,2,남,rev,62,,47.25,False,-0.5379857530303176,,,True,1.5025063750634106e-05,2
송미정,서울,노원구,5,3,여,rev,32,,47.25,False,-1.7717039625801771,,,False,0.0023186148690689033,2
조정훈,,노원구,5,3,남,rev,48,정당인,47.25,False,-3.893747569590172,,,True,0.03625582402827175,2
채근배,서울,은평구,5,3,남,con,39,,47.25,True,-1.086740176578173,,경영,False,0.0002908118640330018,2
이명재,서울,은평구,5,3,남,con,59,,47.25,False,-1.117806735924257,,경영,False,0.00933987061697262,2
박용근,서울,은평구,5,2,남,rev,45,,47.25,False,-0.5706910943980416,,,False,0.298142405425382,2
김유화,서울,은평구,5,3,여,rev,47,,47.25,False,-2.3894298603302104,,,False,0.003052721188030898,2
남궁윤석,서울,은평구,5,3,남,rem,48,,47.25,False,-2.4161939731939954,,,False,7.517814241178999e-06,2
장윤건,서울,은평구,5,1,남,con,56,정당인,47.25,True,-0.6018250947480583,,,False,2.42368776304522e-06,2
성흠제,서울,은평구,5,2,남,rev,45,,47.25,,-0.17942890741428216,,행정,False,0.0005479760714871929,2
구자성,서울,은평구,,3,남,rem,52,,47.25,False,-1.5720961697189602,,경영,False,0.06230077545274405,2
이승한,서울,은평구,5,1,남,con,44,,47.25,True,-0.6409901714190025,연세대,경제,False,0.008923472111831652,2
우영호,서울,은평구,5,3,남,rev,55,,47.25,False,-0.686965025655959,,,False,0.0003553354421959857,2
문규주,서울,은평구,5,3,남,rev,48,,47.25,False,-1.7197028164347818,,정치,False,0.00028470450321390017,2
강영종,서울,은평구,5,3,남,rev,45,,47.25,False,-2.5757076872631117,,,True,0.0003463771332544981,2
최덕규,서울,은평구,5,3,남,rem,44,,47.25,False,-2.853900228829661,,,True,0.003023933396521355,2
나흥수,서울,은평구,5,3,남,rem,39,,47.25,False,-3.689150567034128,,경영,False,1.294045250709446e-05,2
김종선,서울,은평구,5,3,남,con,57,,47.25,True,-0.9465352424000776,,행정,False,0.007227001055233399,2
조수학,서울,은평구,5,3,남,con,67,,47.25,False,-1.897101783045675,,,True,0.00025076321604903086,2
장창익,서울,은평구,5,2,남,rev,52,,47.25,False,-0.1991359965853202,고려대,경영,True,0.0006151786418051947,2
이수현,서울,은평구,5,3,남,rev,41,정당인,47.25,False,-1.979988742182452,,,False,0.3669656219746238,2
남기정,서울,은평구,5,3,남,con,44,,47.25,True,-0.8840379851886575,,,True,0.009230869922649541,2
정병호,서울,은평구,5,3,여,con,46,,47.25,False,-2.061209414216008,,법,False,0.0053509825831916215,2
장우윤,서울,은평구,5,2,여,rev,35,,47.25,False,-0.2188390466482249,,법,False,0.00029755086871191024,2
장기돈,서울,은평구,5,3,남,con,64,,47.25,False,-3.8624962419110127,,,False,0.00012166075150878102,2
유승진,서울,은평구,5,3,남,rem,,,47.25,False,-2.9199551346282875,,,False,0.003299900761936841,2
기노만,서울,은평구,5,3,남,rem,57,,47.25,False,-2.8873206495032684,,,False,0.00024529509264309944,2
고영호,서울,,5,3,남,con,51,,47.25,True,-0.6296945854430077,,,False,0.0016910406589268918,2
최락의,서울,은평구,5,3,남,con,56,정당인,47.25,False,-1.7655212472894444,,,False,0.00010673981142970887,2
이연옥,서울,은평구,5,2,여,rev,51,정당인,47.25,False,-0.2303944418617909,,,False,0.0011200136081603294,2
신명열,서울,은평구,5,3,남,rem,50,정당인,47.25,False,-3.1510886408425938,,,False,4.8976719134409486e-08,2
신래호,서울,은평구,5,3,남,,54,,47.25,True,-0.9795759629617268,,,False,9.948396074176926e-08,2
신현국,서울,은평구,5,3,남,con,61,,47.25,False,-1.7051576058928068,,,False,0.003235381891262179,2
이현찬,서울,은평구,5,2,남,rev,49,,47.25,False,-0.1030816984243232,,법,False,0.0009637575028225051,2
이준영,서울,은평구,5,3,남,rem,39,정당인,47.25,False,-3.2333854341358874,,,True,0.17291558908986215,2
이정숙,서울,은평구,5,3,여,rem,39,,47.25,False,-3.520370689396981,고려대,행정,False,0.029432687383696563,2
김연신,서울,은평구,5,3,남,rev,51,,47.25,False,-4.69651356414621,,,False,0.007753957252515509,2
이선복,서울,은평구,5,3,남,con,49,,47.25,True,-0.9845653224373015,,,False,0.0004336875902304999,2
김길성,서울,은평구,5,3,남,con,51,,47.25,False,-1.7114781948620683,,,False,0.0007761781447560247,2
정병휘,서울,은평구,5,2,남,rev,38,정당인,47.25,False,-0.35901227892647963,고려대,,False,0.00046213034231476973,2
유동호,서울,은평구,5,3,남,rev,38,정당인,47.25,False,-2.3998314512447507,,,True,0.0007803806981611282,2
최명제,서울,은평구,5,3,남,rem,59,,47.25,False,-2.7924415390012034,,,False,9.221753665033706e-05,2
김영원,서울,서대문구,5,3,남,con,50,,47.25,True,-1.2428301616720263,,,False,0.009656269491503713,2
김영열,서울,서대문구,5,3,남,con,63,,47.25,False,-2.213878826147084,,,False,0.0004684452644605485,2
류정오,서울,서대문구,5,3,남,con,55,,47.25,False,-2.9827422848832317,,,False,2.1608914430012556e-06,2
류상호,서울,서대문구,5,3,남,rev,57,정당인,47.25,False,-1.129248773440258,,,False,0.00015980265428284626,2
변녹진,서울,서대문구,5,3,남,rev,51,정당인,47.25,False,-1.6580890929011916,,,False,4.162555877422616e-05,2
이경민,서울,서대문구,5,3,남,rev,32,정당인,47.25,False,-2.3539353838573303,,경영,False,0.13878597848762722,2
김화형,서울,서대문구,5,3,남,rem,57,,47.25,False,-3.096801510971157,,행정,False,8.333210179798151e-06,2
이기봉,서울,서대문구,5,3,남,rem,60,,47.25,False,-3.5353630703302614,,행정,False,0.008817238185290803,
이문학,서울,서대문구,5,3,남,rem,49,,47.25,False,-3.3979095832240582,,,True,0.0005413966090410041,2
김재관,서울,서대문구,5,3,남,con,59,,47.25,True,-0.7709248816026297,,행정,False,0.0071971421469709486,2
이기수,,서대문구,5,3,남,con,56,,47.25,False,-1.7238999356641038,,,False,0.03799467718647776,2
김호진,서울,서대문구,5,2,남,rev,42,정당인,47.25,False,-0.16179908423341607,,,False,0.2122654663309057,2
조덕현,서울,서대문구,5,3,남,rem,29,,47.25,False,-2.9680807422234814,연세대,경영,False,0.0249137351373452,2
이문복,서울,서대문구,5,1,남,con,62,,47.25,True,-0.6552184825424464,,,False,0.0006040808736846682,2
서정순,서울,서대문구,5,3,여,rev,42,,47.25,False,-0.26292274878944416,서울대,,False,0.0003407381168002839,2
고상태,서울,서대문구,5,3,남,rev,63,,47.25,False,-2.084887326577761,,,False,2.756286357445484e-05,2
김혜미,서울,서대문구,5,3,여,rem,43,,47.25,False,-2.250367083550972,,,False,0.02678222048196013,2
오성자,서울,서대문구,5,3,여,con,65,,47.25,True,-1.5855969812960211,,,False,1.7534910090799907e-05,2
홍길식,서울,서대문구,5,3,남,con,51,,47.25,False,,,,True,0.0006153491908424442,2
황춘하,서울,서대문구,5,3,남,rev,44,정당인,47.25,False,-1.0193839606568236,,,True,0.0013740536969833721,2
