이름,선거구,선거구명,종류,회,기호,남여,정당,연령,직업,여당평가,당선여부,득표율,학교,과목,인지,지역구분
오세훈,서울,종로구,국회의원,,1,남,con,55,,42.84,False,-0.42844964971054655,고려대,법,0.606030823924497,3
정세균,서울,종로구,국회의원,20,2,남,rev,65,,42.84,True,0.08937186800021812,고려대,법,0.3494089519176307,3
박태순,서울,,국회의원,20,3,남,rev,53,,42.84,False,-2.831256871810321,서울대,,0.002580702078915905,3
윤공규,서울,종로구,국회의원,20,3,남,rev,52,정당인,42.84,False,-5.216868102452052,,,0.00022599560452335802,3
김한울,,종로구,국회의원,20,3,남,rev,37,,42.84,False,-5.478512017187484,,,0.011146841097019022,3
하승수,서울,종로구,국회의원,20,3,남,rem,47,,42.84,False,-4.9620501936455845,,,0.0038762802669297385,3
이석인,서울,종로구,국회의원,20,3,남,rem,62,정당인,42.84,False,-7.221281935969656,,경영,0.00038946949322200266,3
박종구,서울,종로구,국회의원,20,3,남,con,66,,42.84,False,-7.323135356639341,연세대,법,0.016209186877338855,3
김대한,서울,종로구,국회의원,20,3,남,rem,54,,42.84,False,-6.535512630230034,,,0.009630425992757615,3
이원옥,서울,종로구,국회의원,20,3,남,rem,58,,42.84,False,-6.742798085214886,,경영,0.0005013227471657178,3
김동성,서울,중구 성동구,국회의원,20,1,남,con,45,,42.84,False,,서울대,법,0.5991501591907091,2
홍익표,서울,중구 성동구,국회의원,20,2,남,rev,48,,42.84,True,,,정치,0.06401445574566503,2
서경선,서울,중구 성동구,국회의원,20,3,남,rev,52,정당인,42.84,False,,서울대,,0.0009881815569704217,2
장지웅,서울,중구 성동구,국회의원,,3,남,rev,27,,42.84,False,,,,0.0018414166817375406,2
지상욱,서울,중구 성동구,국회의원,20,1,남,con,50,정당인,,True,,,,0.2774002306349745,2
이지수,서울,중구 성동구,국회의원,20,2,남,rev,51,,42.84,False,,,경영,0.012008718395988362,2
정호준,서울,중구 성동구,국회의원,20,3,남,rev,,,42.84,False,,,경영,0.011202035820861754,2
정재복,서울,중구 성동구,국회의원,,3,남,rem,69,정당인,42.84,False,,,,0.00046111420202112166,2
김수정,서울,중구 성동구,국회의원,20,3,여,rem,27,정당인,42.84,False,,,,0.03293368777107211,2
황춘자,서울,용산구,국회의원,20,1,여,con,62,,42.84,False,-0.4250069272251345,,행정,0.01121611217899638,1
진영,서울,용산구,국회의원,20,2,남,rev,65,,42.84,True,-0.30782402023941746,서울대,법,0.8925284087081019,1
