이름,선거구,선거구명
0,서울,은평구
1,서울,은평구
0,서울,은평구
1,서울,은평구
1,서울,은평구
0,서울,은평구
1,서울,은평구
2,서울,서대문구
0,서울,서대문구
0,서울,서대문구
0,서울,서대문구
0,서울,서대문구
0,서울,서대문구
0,서울,마포구
0,서울,
0,서울,마포구
0,서울,마포구
0,서울,마포구
0,서울,마포구
0,,마포구
0,서울,마포구
0,서울,양천구
0,서울,양천구
0,서울,양천구
1,서울,양천구
1,서울,
0,서울,양천구
2,서울,강서구
0,서울,강서구
0,서울,강서구
0,서울,강서구
0,서울,강서구
0,서울,강서구
0,서울,강서구
0,서울,강서구
2,서울,구로구
1,서울,구로구
0,서울,구로구
0,서울,구로구
0,서울,구로구
2,서울,구로구
0,,금천구
1,서울,금천구
0,서울,금천구
0,,금천구
0,,금천구
0,서울,금천구
0,서울,금천구
0,서울,영등포구
0,서울,영등포구
0,서울,영등포구
0,서울,영등포구
0,서울,영등포구
0,서울,동작구
0,서울,
0,서울,동작구
1,서울,동작구
2,,동작구
0,서울,관악구
0,서울,관악구
0,서울,관악구
0,서울,관악구
0,,관악구
0,서울,관악구
1,서울,관악구
0,서울,관악구
0,서울,서초구
1,서울,서초구
0,서울,서초구
0,서울,서초구
0,서울,
0,,서초구
0,서울,서초구
0,서울,강남구
0,서울,강남구
0,서울,강남구
0,,강남구
2,서울,강남구
0,,강남구
0,서울,강남구
0,서울,송파구
0,서울,송파구
0,서울,송파구
1,서울,송파구
0,서울,송파구
0,서울,송파구
0,서울,송파구
0,서울,송파구
0,,
0,서울,송파구
0,서울,
0,서울,강동구
1,서울,강동구
0,서울,강동구
0,서울,강동구
0,서울,강동구
0,부산,중구동구
1,부산,중구동구
0,부산,중구동구
0,부산,중구동구
0,부산,중구동구
0,부산,서구
1,부산,서구
0,부산,서구
1,부산,
0,부산,영도구
2,,영도구
1,부산,영도구
0,부산,부산진구
0,부산,부산진구
0,부산,부산진구
1,부산,부산진구
0,부산,부산진구
0,부산,부산진구
0,부산,부산진구
1,부산,동래구
0,부산,동래구
0,부산,동래구
0,부산,동래구
0,부산,동래구
0,부산,남구
1,부산,남구
0,부산,남구
0,부산,남구
2,부산,남구
0,부산,남구
1,부산,남구
0,부산,남구
0,부산,남구
0,부산,북구 강서구
0,,북구 강서구
0,부산,북구 강서구
0,,북구 강서구
0,부산,
0,부산,북구 강서구
0,부산,북구 강서구
0,부산,해운대구 기장군
0,부산,해운대구 기장군
0,부산,해운대구 기장군
2,부산,해운대구 기장군
0,부산,해운대구 기장군
0,부산,해운대구 기장군
0,부산,해운대구 기장군
0,부산,
0,부산,사하구
0,부산,사하구
0,부산,사하구
0,,사하구
0,부산,사하구
0,부산,
0,부산,금정구
0,,연제구
2,부산,연제구
0,부산,연제구
0,부산,연제구
0,,수영구
0,부산,수영구
0,부산,수영구
0,,
2,부산,사상구
0,부산,사상구
0,부산,사상구
0,,사상구
0,대구,중구남구
0,대구,중구남구
0,대구,
0,대구,중구남구
1,대구,중구남구
2,대구,중구남구
0,대구,중구남구
0,대구,동구
0,대구,동구
0,대구,동구
0,대구,
0,대구,
0,대구,동구
2,대구,동구
0,대구,동구
0,대구,동구
0,대구,동구
0,대구,동구
0,,서구
0,,서구
0,대구,서구
0,대구,서구
0,대구,서구
0,대구,서구
0,대구,서구
0,대구,북구
0,대구,북구
0,,북구
0,대구,북구
0,대구,북구
0,대구,북구
1,대구,북구
0,대구,북구
2,대구,수성구
0,대구,수성구
1,대구,수성구
0,대구,수성구
0,대구,수성구
0,대구,수성구
0,대구,수성구
1,대구,수성구
0,대구,수성구
0,대구,달서구
0,대구,달서구
0,대구,달서구
1,대구,달서구
0,대구,달서구
1,대구,달서구
1,대구,달서구
0,,달서구
0,대구,달서구
0,대구,달서구
0,대구,달서구
1,대구,달성군
0,대구,달성군
0,대구,달성군
0,,중구 동구 옹진군
0,인천,중구 동구 옹진군
0,인천,남구
0,인천,남구
1,인천,남구
0,인천,남구
0,인천,남구
0,,연수구
1,인천,
0,인천,연수구
2,인천,연수구
0,인천,남동구
0,인천,남동구
0,인천,
1,인천,남동구
0,인천,남동구
0,,남동구
1,인천,
0,,남동구
0,인천,부평구
0,,부평구
1,인천,부평구
0,인천,부평구
0,인천,부평구
0,인천,부평구
0,인천,부평구
1,인천,부평구
0,인천,계양구
0,인천,계양구
2,인천,계양구
1,인천,계양구
0,인천,계양구
2,인천,서구 강화군
2,인천,서구 강화군
0,인천,서구 강화군
0,인천,서구 강화군
0,인천,서구 강화군
0,인천,서구 강화군
0,광주,동구
0,광주,동구
0,광주,동구
1,광주,동구
0,광주,동구
0,광주,동구
2,광주,동구
0,광주,동구
0,광주,서구
0,광주,서구
0,,서구
0,광주,서구
0,광주,서구
1,광주,서구
0,광주,서구
1,광주,서구
0,광주,
0,광주,남구
1,광주,남구
0,광주,남구
0,광주,
1,광주,북구
1,광주,북구
0,광주,북구
0,광주,북구
0,광주,북구
0,광주,북구
0,,북구
0,광주,광산구
0,광주,
0,광주,광산구
1,광주,광산구
0,광주,광산구
1,대전,동구
2,대전,동구
0,,동구
0,대전,동구
0,대전,중구
1,대전,중구
0,,중구
0,대전,중구
1,대전,서구
0,,서구
0,,서구
1,대전,서구
2,대전,서구
0,대전,서구
1,대전,서구
0,대전,서구
0,대전,서구
2,대전,유성구
1,대전,유성구
0,대전,유성구
1,대전,유성구
0,대전,대덕구
2,대전,대덕구
0,대전,대덕구
0,울산,중구
0,울산,중구
1,울산,중구
0,울산,중구
0,울산,중구
1,울산,남구
0,울산,
0,울산,남구
0,울산,남구
0,울산,남구
0,,
0,,남구
2,울산,
0,울산,동구
1,울산,동구
0,울산,동구
0,울산,동구
0,울산,북구
0,,북구
0,울산,
1,울산,울주군
0,세종,세종특별자치시
1,세종,세종특별자치시
2,세종,세종특별자치시
0,세종,세종특별자치시
0,세종,세종특별자치시
0,세종,
0,경기,수원시
1,경기,수원시
1,,수원시
0,경기,수원시
0,경기,수원시
0,경기,수원시
0,경기,수원시
1,경기,수원시
0,경기,수원시
0,경기,수원시
0,,수원시
1,경기,수원시
0,경기,수원시
0,경기,수원시
0,경기,성남시 수정구
0,경기,성남시 수정구
0,경기,성남시 수정구
2,,
2,경기,성남시 중원구
0,,성남시 중원구
0,경기,성남시 중원구
1,경기,성남시 중원구
0,경기,
0,경기,성남시 중원구
1,경기,성남시 분당구
0,경기,성남시 분당구
0,경기,성남시 분당구
0,경기,성남시 분당구
0,경기,성남시 분당구
0,경기,
0,경기,성남시 분당구
0,,
0,경기,의정부시
0,경기,의정부시
0,경기,의정부시
0,,
0,경기,의정부시
0,경기,의정부시
0,경기,안양시 만안구
1,경기,안양시 만안구
0,경기,안양시 만안구
0,경기,안양시 만안구
0,경기,안양시 만안구
2,,안양시 동안구
2,경기,
2,경기,안양시 동안구
1,경기,안양시 동안구
0,경기,안양시 동안구
0,경기,부천시 원미구
0,경기,부천시 원미구
0,경기,부천시 원미구
0,경기,부천시 원미구
2,,부천시 원미구
0,경기,부천시 원미구
2,경기,부천시 소사구
0,경기,부천시 소사구
0,경기,부천시 소사구
0,경기,부천시 소사구
0,경기,부천시 오정구
0,경기,부천시 오정구
0,경기,부천시 오정구
0,경기,부천시 오정구
0,경기,부천시 오정구
0,경기,
0,,광명시
0,경기,광명시
0,경기,광명시
1,경기,광명시
1,경기,광명시
0,경기,평택시
1,경기,평택시
0,경기,평택시
1,경기,평택시
0,경기,
0,경기,평택시
1,경기,평택시
1,경기,평택시
2,경기,양주시 동두천시
0,경기,양주시 동두천시
0,경기,양주시 동두천시
0,경기,안산시 상록구
0,경기,안산시 상록구
0,경기,안산시 상록구
0,경기,안산시 상록구
0,경기,안산시 단원구
0,경기,
0,경기,안산시 단원구
2,경기,안산시 단원구
0,경기,안산시 단원구
0,경기,안산시 단원구
2,경기,안산시 단원구
0,경기,고양시 덕양구
0,경기,고양시 덕양구
0,경기,고양시 덕양구
0,경기,고양시 덕양구
2,경기,고양시 덕양구
0,경기,
0,경기,고양시 덕양구
2,경기,고양시 일산동구
0,경기,고양시 일산동구
0,경기,고양시 일산동구
0,,고양시 일산서구
0,경기,고양시 일산서구
2,경기,
0,경기,고양시 일산서구
1,경기,
0,경기,의왕시 과천시
0,경기,의왕시 과천시
0,경기,구리시
0,경기,구리시
0,경기,구리시
0,경기,구리시
0,경기,남양주시
0,경기,남양주시
0,경기,남양주시
0,경기,남양주시
0,,남양주시
0,경기,남양주시
0,경기,남양주시
0,경기,남양주시
0,경기,오산시
0,경기,
2,경기,화성시
2,경기,
2,,화성시
2,경기,화성시
0,경기,화성시
1,경기,화성시
0,경기,화성시
0,경기,화성시
0,경기,
0,,시흥시
0,경기,시흥시
1,경기,시흥시
0,경기,시흥시
