성명,선거구일,선거구이
0,,종로구
0,서울,종로구
0,서울,종로구
0,서울,종로구
1,서울,종로구
0,서울,종로구
0,서울,중구
0,서울,중구
0,서울,중구
0,서울,중구
1,서울,중구
0,서울,중구
0,서울,용산구
0,서울,용산구
0,서울,용산구
0,서울,용산구
0,서울,용산구
2,서울,용산구
1,서울,성동구
0,서울,성동구
0,서울,성동구
0,서울,성동구
0,서울,성동구
0,서울,
0,서울,성동구
0,서울,성동구
0,서울,성동구
0,서울,광진구
0,서울,광진구
2,서울,광진구
0,서울,광진구
0,서울,광진구
0,서울,광진구
0,서울,광진구
0,서울,광진구
0,서울,
0,서울,광진구
0,서울,광진구
0,서울,광진구
0,서울,광진구
0,서울,동대문구
1,서울,동대문구
0,서울,동대문구
0,서울,동대문구
0,서울,동대문구
0,서울,동대문구
0,서울,
0,서울,동대문구
0,서울,동대문구
0,서울,
1,서울,중랑구
0,서울,중랑구
0,서울,중랑구
0,서울,중랑구
0,서울,중랑구
0,서울,중랑구
0,서울,중랑구
0,서울,중랑구
0,서울,중랑구
0,서울,중랑구
0,서울,중랑구
0,서울,중랑구
0,서울,성북구
0,서울,성북구
1,서울,성북구
0,서울,성북구
0,서울,성북구
0,서울,성북구
0,서울,성북구
0,서울,성북구
0,서울,성북구
1,서울,성북구
0,서울,성북구
0,서울,성북구
0,서울,성북구
0,서울,강북구
2,서울,강북구
0,서울,강북구
1,서울,강북구
0,서울,강북구
1,서울,강북구
0,서울,강북구
0,서울,강북구
0,서울,강북구
0,서울,강북구
0,서울,강북구
0,서울,강북구
0,서울,도봉구
2,,도봉구
0,서울,도봉구
1,서울,도봉구
0,서울,도봉구
0,서울,도봉구
1,서울,도봉구
0,서울,도봉구
0,서울,도봉구
0,서울,도봉구
0,서울,노원구
0,서울,노원구
1,서울,노원구
0,서울,노원구
1,서울,노원구
0,서울,노원구
0,서울,노원구
0,서울,노원구
1,서울,노원구
0,서울,노원구
0,서울,노원구
0,서울,노원구
0,서울,노원구
0,서울,노원구
0,서울,노원구
0,서울,노원구
0,서울,노원구
0,서울,은평구
1,서울,은평구
0,서울,은평구
1,서울,은평구
0,서울,은평구
0,서울,은평구
0,서울,
0,,은평구
0,서울,은평구
0,서울,은평구
1,서울,은평구
0,서울,은평구
0,서울,은평구
0,서울,서대문구
1,서울,서대문구
0,서울,서대문구
0,서울,서대문구
0,서울,서대문구
0,서울,서대문구
0,서울,서대문구
1,서울,서대문구
0,서울,서대문구
0,서울,서대문구
0,서울,서대문구
1,,서대문구
0,서울,서대문구
0,서울,마포구
0,서울,마포구
0,서울,마포구
1,서울,마포구
0,서울,마포구
0,서울,마포구
0,서울,마포구
0,서울,마포구
0,서울,마포구
0,서울,마포구
0,서울,양천구
1,서울,양천구
2,서울,양천구
0,서울,
0,서울,양천구
0,서울,양천구
0,서울,양천구
0,서울,양천구
0,서울,
0,서울,양천구
0,서울,양천구
0,서울,양천구
0,,양천구
0,서울,강서구
0,서울,강서구
0,서울,강서구
0,서울,강서구
1,서울,
0,서울,강서구
0,서울,강서구
0,서울,강서구
0,서울,강서구
0,서울,강서구
0,서울,강서구
1,서울,강서구
1,서울,강서구
0,서울,강서구
0,서울,강서구
0,서울,
0,서울,강서구
0,서울,구로구
0,서울,구로구
1,서울,구로구
1,서울,구로구
0,서울,구로구
0,서울,구로구
0,서울,구로구
0,서울,구로구
0,서울,구로구
0,서울,구로구
0,서울,금천구
0,서울,금천구
0,서울,금천구
