성명,선거구1,선거구2,여당평가,당선여부,득표수(득표율),학력,과목,경력_지역,인지도,지역구분
오일식,충북,청주시 청원구,74.43499999999997,,-0.9386292861422124,,,False,0.003477642995086665,1
장석남,충북,청주시 청원구,74.43499999999997,False,-1.915623850461396,,경영,False,0.11146417492482864,1
이의영,충북,청주시 청원구,74.43499999999997,True,,,경영,False,0.026392073347008032,1
김태제,충북,,74.43499999999997,False,,,,,0.0492580679057566,1
조영태,충북,청주시 청원구,74.43499999999997,False,,,,False,0.2299682106492677,1
정상교,충북,충주시,74.43499999999997,True,0.2947914620019461,,,False,0.15874474942054378,
서흥원,충북,충주시,74.43499999999997,False,-0.4717156953370151,,,False,0.026897819223622013,
서동학,충북,충주시,74.43499999999997,True,-0.12062043967885007,,경영,True,0.12147840312364315,1
이종갑,충북,충주시,74.43499999999997,False,-0.2266835769255288,,경영,False,0.12499365096330775,1
박영태,충북,충주시,74.43499999999997,False,-2.790032773593573,서울대,법,False,0.42069996876445204,1
심기보,충북,충주시,74.43499999999997,True,0.3253418318505774,,법,False,0.11496087285707117,
임순묵,충북,충주시,,False,-0.4362114357015125,,,False,0.032224535647360136,1
박성원,충북,제천시,74.43499999999997,True,-0.2724402320244433,,,True,0.7131942596900888,1
성명중,충북,제천시,74.43499999999997,False,-0.7757027309141468,,,False,0.025960332138491683,1
김꽃임,충북,제천시,74.43499999999997,False,-1.2504412185097846,,,False,0.018338278543433964,1
전원표,충북,제천시,74.43499999999997,True,0.19850008466851254,,,False,0.02017871504475385,1
김호경,충북,제천시,74.43499999999997,False,-0.3171883530938053,,,False,0.22232841458323185,1
이보환,충북,단양군,74.43499999999997,False,-0.12903851749407216,,경제,False,0.4922161578026371,1
오영탁,충북,단양군,74.43499999999997,True,0.002621233479874287,,경영,False,0.5077838421973628,1
윤태림,충북,영동군,74.43499999999997,False,,,경영,,0.14002295037733578,1
박병진,충북,영동군,74.43499999999997,True,0.02969942525238804,,,False,0.8170184492051777,1
정태생,충북,영동군,74.43499999999997,False,-0.2389552936973861,,,False,0.01751329682965416,1
박우양,충북,영동군,74.43499999999997,True,0.05656706719503472,,경제,False,,1
하유정,충북,보은군,74.43499999999997,True,-0.08107909774504568,,,False,0.4078563997169214,1
박경숙,충북,보은군,74.43499999999997,False,-0.11071080429431952,,,False,0.5921436002830786,1
박형용,충북,옥천군,74.43499999999997,True,-0.11979279595693165,,행정,,0.13237263157981596,1
박한범,충북,옥천군,74.43499999999997,False,-0.453774762928451,,,False,0.3408848821392681,1
조동주,충북,옥천군,74.43499999999997,False,-2.0227685815752783,,행정,False,0.06196837113709785,1
황규철,충북,옥천군,74.43499999999997,True,0.5887980541093033,,행정,False,0.4407503478210309,1
박현문,충북,옥천군,74.43499999999997,False,-0.8008197306411937,,,False,0.024023767322787156,1
이상정,충북,음성군,74.43499999999997,True,0.021102776067735817,고려대,,False,0.07610463013759568,3
,충북,음성군,74.43499999999997,False,-1.2318803501522035,,,False,,3
한동완,충북,음성군,74.43499999999997,False,,,경영,False,0.010763232796865458,3
김기창,충북,음성군,74.43499999999997,,-0.14646639472247452,,경영,False,0.12587730282696988,3
한동희,충북,음성군,74.43499999999997,False,-0.7860607769518926,,,False,0.7366790996888428,3
이명섭,충북,음성군,74.43499999999997,False,-1.4839283219854005,,,False,0.04703592175574827,3
,충북,진천군,74.43499999999997,True,0.0780192638279336,,경영,False,0.1568516345148304,3
정영수,충북,진천군,74.43499999999997,False,-0.20442833257498447,,경영,False,0.0920771975938992,3
이수완,충북,진천군,74.43499999999997,True,0.3951759891823083,,행정,False,0.7380694371972261,3
이양섭,충북,,74.43499999999997,False,-0.5194642089365555,,,False,0.01300173069404447,3
윤남진,충북,괴산군,74.43499999999997,True,-0.4671141466292103,,,True,0.06508164898674987,3
이태훈,충북,괴산군,74.43499999999997,False,-0.5014350854490526,,,,0.9209292936187222,3
안진한,충북,괴산군,74.43499999999997,False,-1.95735401650799,,행정,False,0.008433428078025816,3
,충북,괴산군,74.43499999999997,False,,,,False,0.005555629316502122,3
