성명,선거구일,선거구이,여당평가,당선여부,득표수,학력,과목,경력지역,인지도,지역구분
김광민,경기,부천시 원미구,51.225,False,-2.739004398766026,,,False,0.4945787275314856,2
이옥수,경기,부천시 원미구,51.225,False,-0.4620748341849204,,경영,False,0.012190196204463143,2
나득수,경기,부천시 원미구,51.225,True,,,경영,False,0.0025084097005109197,2
홍기원,경기,부천시 원미구,51.225,False,-3.5079184457892163,,,False,0.0504805276506055,2
김광회,경기,부천시 원미구,51.225,False,-2.3371401413416057,,,True,0.007713284236091844,2
김승동,경기,부천시 원미구,51.225,False,-0.39734087368129895,,행정,False,0.01283047549327028,2
서진웅,경기,부천시 원미구,51.225,True,,연세대,행정,True,0.0087617080501248,2
유용현,경기,부천시 원미구,51.225,False,-3.7584911483396017,,,False,0.0029997796112300637,2
김용석,경기,부천시 원미구,51.225,False,-3.2886735825308913,,,False,0.14297328782536464,2
김미숙,경기,,51.225,False,-0.3611714006511101,,정치,False,0.4313528817077894,2
류재구,경기,부천시 소사구,,True,,,행정,False,0.002227039171625871,2
김환석,경기,부천시 소사구,51.225,False,-0.2513271800486199,,,True,0.004065812811492093,2
김종석,경기,부천시 소사구,51.225,True,,,,True,0.5606573665151169,2
이순선,경기,부천시 소사구,51.225,False,-3.423619963283988,,,False,0.0016968997939755912,2
원종태,,부천시 오정구,51.225,False,-0.26305502718267976,,,False,0.0033281034701904363,2
서영석,경기,,51.225,True,,,,False,0.6214879148603137,2
김용배,경기,부천시 오정구,51.225,False,-0.26708119510772954,,행정,False,0.35029812779202035,2
이필구,경기,부천시 오정구,51.225,True,,,행정,True,0.02488585387747544,2
권태진,경기,광명시,51.225,False,-0.3670445248178307,고려대,행정,False,0.0016226846660254257,2
이준희,경기,광명시,51.225,,,,,False,0.01836105022587317,2
김영면,경기,광명시,51.225,False,-2.2723181907600445,,경영,True,0.00012995934376776235,2
김선식,,광명시,51.225,False,-0.2978101968870689,,,False,0.0004601067186966706,2
정대운,경기,광명시,51.225,True,,,,True,0.0007585636738680604,2
손인암,경기,광명시,51.225,False,-0.3817092872002637,,행정,False,0.000445260192721396,2
박승원,경기,광명시,51.225,True,,,,True,0.005288164658637046,2
,경기,광명시,51.225,False,-0.25722636913440355,,법,False,1.789187518197834e-07,2
김성태,경기,광명시,51.225,True,,,행정,True,0.9457284069180338,2
정하준,경기,광명시,51.225,False,-2.6696082695870915,,,True,0.027205624683624724,2
최호,경기,평택시,51.225,True,,,경영,False,0.2660119632364679,1
김전수,경기,평택시,51.225,False,,,,False,0.0030155280231967266,1
김철인,경기,평택시,,True,-0.021534927853681943,,,False,0.034314410824026885,1
고인정,경기,평택시,51.225,False,,,정치,True,0.13373610100630276,1
염동식,경기,평택시,51.225,True,0.20860504419308665,,,True,0.00539566594875862,1
양안석,경기,평택시,51.225,False,,,,True,0.0007855724160046888,1
,경기,평택시,51.225,True,0.1190228252079266,,경영,True,0.5216231369415918,1
김학만,경기,평택시,51.225,False,,,,True,0.023260445984485126,
조아론,경기,평택시,51.225,False,-2.576385999852441,,경제,False,0.01185717561916552,1
원대식,,양주시,51.225,True,,,행정,False,0.027658415758844937,1
박재일,경기,양주시,51.225,False,,,,False,0.28185124933634004,1
홍범표,경기,양주시,51.225,True,0.22614777572377445,고려대,행정,True,0.018735161792797942,1
이은철,경기,,51.225,False,,,행정,False,0.6717551731120172,1
홍석우,경기,동두천시,51.225,True,0.3103734836538516,,행정,False,,
심동용,경기,동두천시,51.225,False,,,,False,0.055283203328430966,1
박형덕,경기,동두천시,51.225,True,0.2700255202687775,,행정,False,0.11421699556241074,1
심화섭,경기,동두천시,51.225,False,,,,False,0.146588226672898,1
임승철,경기,안산시 상록구,51.225,False,-0.34140842059660176,,,False,0.013442291036458852,2
송한준,경기,안산시 상록구,51.225,True,,,정치,True,0.010881625361317928,2
이대근,경기,안산시 상록구,51.225,False,-0.3737985792464639,,경영,True,0.16987337170010575,2
천영미,경기,안산시 상록구,51.225,True,,,,,0.0044771643067786,2
홍연아,경기,안산시 상록구,51.225,False,-1.89161653676562,고려대,,True,0.011282049097854812,
이광종,경기,안산시 상록구,51.225,False,-0.12928117391514887,,,False,0.7582319434258498,2
장동일,경기,안산시 상록구,51.225,True,,연세대,행정,True,0.012100392527836849,2
,경기,안산시 상록구,51.225,False,-0.2621379765365401,,,False,0.003912204024713555,2
고윤석,,안산시 상록구,51.225,True,,,경제,False,0.01558872902100878,
김교환,경기,안산시 상록구,51.225,False,-2.3708978465676807,,,False,0.00021022949807496648,2
이승종,경기,안산시 단원구,51.225,False,-0.13241403686729178,,,False,0.011758776894418468,2
윤화섭,경기,안산시 단원구,51.225,True,,,행정,,0.05221373048739818,2
이기환,경기,안산시 단원구,51.225,False,-0.24113806104014365,,법,False,0.01866372642059514,2
양근서,경기,안산시 단원구,51.225,True,,,정치,False,,2
빈호준,경기,안산시 단원구,51.225,False,-2.744780605136592,,경영,False,0.0009750914700955101,2
주기명,경기,,51.225,False,-0.16907282384936476,고려대,법,False,8.300911205356756e-05,2
김현삼,경기,안산시 단원구,,True,,,,True,0.003025699589120714,2
