성명,지역,선거구명
0,서울, 
0,서울, 
0,서울, 
0,서울, 
0,서울, 
0,서울, 
0,서울, 
0,서울, 
0,서울, 
0,부산, 
0,부산, 
1,부산, 
0,부산, 
1,부산, 
0,대구, 
0,대구, 
0,대구, 
0,인천, 
0,인천, 
0,인천, 
0,인천, 
1,, 
0,광주, 
0,광주, 
0,광주, 
0,대전, 
0,대전, 
0,대전, 
0,대전, 
2,울산, 
0,울산, 
1,, 
0,울산, 
1,세종, 
0,세종, 
0,세종, 
1,경기, 
0,경기, 
0,경기, 
1,경기, 
0,, 
0,강원, 
0,강원, 
1,충북, 
0,충북, 
0,충북, 
0,충남, 
1,충남, 
0,충남, 
0,전북, 
0,전북, 
0,전북, 
0,전북, 
1,전북, 
0,전남, 
0,전남, 
0,전남, 
0,전남, 
1,,
0,경북, 
1,경북, 
0,경북, 
0,경북, 
0,경남, 
0,경남, 
0,경남, 
0,제주, 
0,제주, 
0,제주, 
0,제주, 
0,제주, 
0,서울, 
0,서울, 
0,서울, 
0,서울, 
2,부산, 
0,부산, 
0,대구, 
0,대구, 
0,대구, 
1,대구, 
1,대구, 
0,인천,
0,인천, 
0,인천, 
1,광주, 
0,광주, 
0,광주, 
1,광주,
0,광주, 
1,광주, 
0,대전, 
0,대전, 
0,대전, 
0,대전, 
0,울산,
0,울산, 
1,울산, 
0,세종, 
1,세종,
0,경기, 
0,, 
0,강원, 
0,강원, 
1,강원, 
0,충북, 
1,충북, 
0,충북, 
0,충남, 
0,충남, 
0,충남, 
2,전북, 
2,전북, 
1,전북, 
1,전남, 
1,전남, 
1,전남, 
0,경북, 
0,경북, 
0,경북, 
0,경북, 
0,경남, 
0,경남, 
0,경남, 
0,제주, 
0,제주, 
0,제주, 
0,제주, 
0,서울, 
0,서울, 
0,서울,
0,서울, 
0,서울, 
0,부산, 
0,부산, 
0,대구, 
1,대구, 
0,대구, 
0,인천, 
0,인천, 
0,인천, 
0,인천, 
0,광주, 
0,광주, 
0,광주, 
0,광주, 
0,광주, 
0,광주, 
0,대전, 
0,대전, 
0,대전, 
2,대전, 
0,울산, 
0,울산, 
0,울산, 
0,경기, 
0,경기, 
1,강원, 
1,강원, 
0,, 
1,충북, 
0,충북, 
0,충남, 
0,충남, 
2,충남, 
0,전북, 
0,전북, 
2,전북, 
0,전북, 
0,전북, 
0,, 
0,전남,
0,전남, 
0,전남, 
0,경북, 
0,경북, 
0,경북, 
0,경북, 
1,경남, 
0,경남, 
0,제주, 
0,제주, 
0,제주, 
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
0,전북, 
0,인천, 
1,경기, 
0,대전, 
0,전북, 
0,경북, 
0,인천, 
0,서울, 
0,전남, 
0,세종, 
0,제주, 
1,충북, 
0,전북, 
