,성명,지역,선거구명,선거 종류,회차,기호,성별,정당명,연령,직업,여당평가,당선여부,득표수(득표율),학교,과목,경력_지역,인지도,지역구분
0,오세훈,서울,종로구,국회의원,20,1,남,con,55,,42.84,0,-0.42844964971054655,고려대,법,1,0.606030823924497,3
1,정세균,서울,종로구,국회의원,20,2,남,rev,65,,42.84,1,0.08937186800021812,고려대,법,0,0.3494089519176307,3
2,박태순,서울,종로구,국회의원,20,3,남,rev,53,,42.84,0,-2.8312568718103215,서울대,,0,0.0025807020789159053,3
3,윤공규,서울,종로구,국회의원,20,3,남,rev,52,정당인,42.84,0,-5.216868102452052,,,0,0.00022599560452335802,3
4,김한울,서울,종로구,국회의원,20,3,남,rev,37,,42.84,0,-5.478512017187484,,,0,0.011146841097019022,3
5,하승수,서울,종로구,국회의원,20,3,남,rem,47,,42.84,0,-4.9620501936455845,,,0,0.0038762802669297385,3
6,이석인,서울,종로구,국회의원,20,3,남,rem,62,정당인,42.84,0,-7.221281935969655,,경영,0,0.00038946949322200266,3
7,박종구,서울,종로구,국회의원,20,3,남,con,66,,42.84,0,-7.323135356639341,연세대,법,0,0.016209186877338855,3
8,김대한,서울,종로구,국회의원,20,3,남,rem,54,,42.84,0,-6.535512630230034,,,0,0.009630425992757617,3
9,이원옥,서울,종로구,국회의원,20,3,남,rem,58,,42.84,0,-6.742798085214886,,경영,0,0.0005013227471657178,3
10,김동성,서울,중구 성동구,국회의원,20,1,남,con,45,,42.84,0,,서울대,법,0,0.5991501591907091,2
11,홍익표,서울,중구 성동구,국회의원,20,2,남,rev,48,,42.84,1,,,정치,0,0.06401445574566503,2
12,서경선,서울,중구 성동구,국회의원,20,3,남,rev,52,정당인,42.84,0,,서울대,,0,0.0009881815569704217,2
13,장지웅,서울,중구 성동구,국회의원,20,3,남,rev,27,,42.84,0,,,,0,0.0018414166817375412,2
14,지상욱,서울,중구 성동구,국회의원,20,1,남,con,50,정당인,42.84,1,,,,1,0.2774002306349745,2
15,이지수,서울,중구 성동구,국회의원,20,2,남,rev,51,,42.84,0,,,경영,0,0.012008718395988362,2
16,정호준,서울,중구 성동구,국회의원,20,3,남,rev,45,,42.84,0,,,경영,1,0.011202035820861754,2
17,정재복,서울,중구 성동구,국회의원,20,3,남,rem,69,정당인,42.84,0,,,,0,0.0004611142020211217,2
18,김수정,서울,중구 성동구,국회의원,20,3,여,rem,27,정당인,42.84,0,,,,0,0.03293368777107211,2
19,황춘자,서울,용산구,국회의원,20,1,여,con,62,,42.84,0,-0.4250069272251345,,행정,1,0.011216112178996379,1
20,진영,서울,용산구,국회의원,20,2,남,rev,65,,42.84,1,-0.30782402023941746,서울대,법,0,0.8925284087081019,1
21,곽태원,서울,용산구,국회의원,20,3,남,rev,59,,42.84,0,-1.8425913052672167,,경제,0,0.0026680429848177467,1
22,정연욱,서울,용산구,국회의원,20,3,남,rev,47,정당인,42.84,0,-3.571344529086511,,,0,0.00929220623312024,1
23,이소영,서울,용산구,국회의원,20,3,여,rem,29,정당인,42.84,0,-4.919423308234782,,,0,0.08429522989496373,1
24,정송학,서울,광진구,국회의원,20,1,남,con,62,,42.84,0,-0.510903360316859,,법,0,0.0013647331174562016,2
25,전혜숙,서울,광진구,국회의원,20,2,여,rev,60,정당인,42.84,1,-0.3971284979812207,,,0,0.023829853992166576,2
26,임동순,서울,광진구,국회의원,20,3,남,rev,62,,42.84,0,-1.4049828058070932,,,1,0.0011478315893632004,2
27,이정희,서울,광진구,국회의원,20,3,여,rem,55,,42.84,0,-4.743474262126999,,,0,0.28597039509101924,2
28,백승원,서울,광진구,국회의원,20,3,남,con,66,,42.84,0,-5.164323765120917,,법,1,0.0011420571850952067,2
29,정준길,서울,광진구,국회의원,20,1,남,con,49,,42.84,0,-0.5413971064822718,서울대,법,0,0.01949604258147199,2
30,추미애,서울,광진구,국회의원,20,2,여,rev,57,,42.84,1,-0.07979081321598154,,법,0,0.6614850049630475,2
31,황인철,서울,광진구,국회의원,20,3,남,rev,55,정당인,42.84,0,-1.8051567253286767,고려대,법,0,0.005564081480380068,2
32,허용범,서울,동대문구,국회의원,20,1,남,con,51,정당인,42.84,0,-0.4962108759396636,,행정,0,0.018495911080315668,2
33,안규백,서울,동대문구,국회의원,20,2,남,rev,54,,42.84,1,-0.3129467049385095,,,0,0.05201371975195527,2
34,김윤,서울,동대문구,국회의원,20,3,남,rev,52,정당인,42.84,0,-1.6881692270631168,서울대,,0,0.02975374045250526,2
35,오정빈,서울,동대문구,국회의원,20,3,남,rev,27,정당인,42.84,0,-3.443933036922881,,정치,1,0.002866275659188825,2
36,박준선,서울,동대문구,국회의원,20,1,남,con,49,,42.84,0,-0.5095918399247454,서울대,법,0,0.005754755409621974,2
37,민병두,서울,동대문구,국회의원,20,2,남,rev,57,,42.84,1,0.2901546580967922,,,0,0.8804317220047015,2
38,윤미연,서울,동대문구,국회의원,20,3,여,rem,25,정당인,42.84,0,-3.281653067931556,,,0,0.010683875641711405,2
39,김진수,서울,중랑구,국회의원,20,1,남,con,57,,42.84,0,-0.7944935651703463,,행정,0,0.14000249908357332,3
40,서영교,서울,중랑구,국회의원,20,2,여,rev,51,,42.84,1,0.14358594686890497,,정치,0,0.13205235185201464,3
41,민병록,서울,중랑구,국회의원,20,3,남,rev,62,정당인,42.84,0,-1.8694774485047074,고려대,경영,1,0.0005670001515436741,3
42,이창배,서울,중랑구,국회의원,20,3,남,rem,44,,42.84,0,-4.721215141049024,,,0,0.0005351321290638405,3
43,강동호,서울,중랑구,국회의원,20,1,남,con,72,정당인,42.84,0,-0.5614936771295269,,정치,1,0.6718606583577942,3
44,박홍근,서울,중랑구,국회의원,20,2,남,rev,46,,42.84,1,-0.24801506867365697,,행정,1,0.027634033403101898,3
45,강원,서울,중랑구,국회의원,20,3,남,rev,62,정당인,42.84,0,-1.7884038650047451,,경영,0,0.01006897417721341,3
46,김민상,서울,중랑구,국회의원,20,3,남,rem,26,,42.84,0,-4.134475735220465,,경영,0,0.016399318279526672,3
47,윤정화,서울,중랑구,국회의원,20,3,남,rem,34,,42.84,0,-3.504464302921494,서울대,경영,0,0.0008800325661683753,3
48,정태근,서울,성북구,국회의원,20,1,남,con,52,,42.84,0,-0.5819054252359129,연세대,경제,1,0.04844662639120233,2
49,유승희,서울,성북구,국회의원,20,2,여,rev,55,,42.84,1,-0.1066775538608236,,행정,0,0.11604629070769827,2
50,도천수,서울,성북구,국회의원,20,3,남,rev,62,,42.84,0,-1.7630756033225194,고려대,,0,0.0022223769856786015,2
