,이름,선거구,선거구명
0,오세훈,서울,종로구
1,정세균,서울,종로구
2,박태순,서울,
3,윤공규,서울,종로구
4,김한울,,종로구
5,하승수,서울,종로구
6,이석인,서울,종로구
7,박종구,서울,종로구
8,김대한,서울,종로구
9,이원옥,서울,종로구
10,김동성,서울,중구 성동구
11,홍익표,서울,중구 성동구
12,서경선,서울,중구 성동구
13,장지웅,서울,중구 성동구
14,지상욱,서울,중구 성동구
15,이지수,서울,중구 성동구
16,정호준,서울,중구 성동구
17,정재복,서울,중구 성동구
18,김수정,서울,중구 성동구
19,황춘자,서울,용산구
20,진영,서울,용산구
21,곽태원,서울,용산구
22,정연욱,서울,용산구
23,이소영,서울,용산구
24,정송학,서울,광진구
25,전혜숙,서울,광진구
26,임동순,서울,광진구
27,이정희,서울,광진구
28,백승원,서울,광진구
29,정준길,서울,광진구
30,추미애,서울,광진구
31,황인철,서울,광진구
32,허용범,서울,동대문구
33,안규백,서울,동대문구
34,김윤,서울,동대문구
35,오정빈,서울,동대문구
36,박준선,서울,동대문구
37,민병두,서울,동대문구
38,윤미연,서울,동대문구
39,김진수,서울,중랑구
40,서영교,서울,중랑구
41,민병록,서울,중랑구
42,이창배,서울,중랑구
43,강동호,서울,중랑구
44,박홍근,서울,중랑구
45,강원,서울,중랑구
46,김민상,서울,중랑구
47,윤정화,서울,중랑구
48,정태근,서울,성북구
49,유승희,서울,
50,도천수,서울,성북구
51,박철우,서울,성북구
52,김효재,서울,성북구
53,,서울,성북구
54,김인원,서울,성북구
55,박창완,서울,성북구
56,이경애,서울,성북구
57,양규현,서울,성북구
58,정양석,서울,강북구
59,천준호,서울,강북구
60,김기옥,서울,강북구
61,안홍렬,서울,강북구
62,박용진,서울,강북구
63,조구성,서울,
64,이재범,서울,도봉구
65,인재근,서울,도봉구
66,김선동,서울,도봉구
67,오기형,서울,도봉구
68,손동호,서울,도봉구
69,이노근,서울,노원구
70,고용진,서울,노원구
71,이형남,서울,노원구
72,홍범식,서울,노원구
73,우원식,서울,노원구
74,황상모,서울,노원구
75,이준석,서울,노원구
76,황창화,서울,노원구
77,안철수,서울,노원구
78,주희준,서울,노원구
79,,서울,노원구
80,정태흥,서울,노원구
81,최홍재,서울,은평구
82,박주민,서울,은평구
83,최승현,서울,은평구
84,강병원,서울,은평구
85,고연호,서울,은평구
86,이강무,,은평구
87,유지훈,서울,은평구
88,최병호,서울,은평구
89,이재오,서울,은평구
90,이성헌,서울,서대문구
91,우상호,서울,서대문구
92,이종화,서울,서대문구
93,김영준,,서대문구
94,정두언,서울,서대문구
95,김영호,서울,서대문구
96,홍성덕,서울,서대문구
97,안대희,서울,마포구
98,노웅래,서울,마포구
99,홍성문,서울,마포구
100,이상이,서울,마포구
101,강승규,서울,마포구
102,김성동,서울,마포구
103,손혜원,서울,마포구
104,김철,서울,마포구
105,배준호,서울,마포구
106,하윤정,서울,마포구
107,정명수,서울,마포구
108,이기재,서울,양천구
109,황희,서울,양천구
110,염동옥,서울,양천구
111,김용태,서울,양천구
112,이용선,서울,양천구
113,김현배,서울,양천구
114,구상찬,서울,강서구
115,금태섭,서울,강서구
116,김영근,서울,강서구
117,신기남,서울,강서구
118,백철,서울,강서구
119,김성태,서울,강서구
120,진성준,서울,강서구
121,김용성,서울,강서구
122,김인자,서울,강서구
123,유영,서울,강서구
124,한정애,서울,강서구
125,김성호,서울,강서구
126,김종민,서울,강서구
127,김승제,서울,구로구
128,이인영,서울,구로구
129,김철근,서울,구로구
130,이호성,서울,구로구
131,이근미,서울,구로구
132,강요식,서울,구로구
133,박영선,서울,구로구
134,정찬택,서울,구로구
135,김선경,서울,
136,한인수,서울,금천구
137,이훈,서울,금천구
138,정두환,서울,금천구
139,유재운,서울,금천구
140,박선규,서울,영등포구
141,김영주,,영등포구
142,강신복,서울,영등포구
143,정재민,서울,영등포구
144,권영세,서울,영등포구
145,신경민,서울,영등포구
146,김종구,서울,영등포구
147,성성봉,서울,영등포구
148,진재범,서울,영등포구
149,이상휘,서울,동작구
150,김병기,서울,동작구
151,장환진,서울,동작구
152,이유진,서울,동작구
153,김주식,서울,동작구
154,나경원,서울,동작구
155,허동준,서울,동작구
156,장진영,서울,동작구
157,이상현,서울,동작구
158,원영섭,서울,관악구
159,유기홍,서울,관악구
160,김성식,서울,관악구
161,이동영,서울,관악구
162,연시영,서울,관악구
163,오신환,서울,관악구
164,정태호,서울,관악구
165,이행자,서울,관악구
166,송광호,서울,관악구
167,이상규,서울,관악구
168,이혜훈,서울,서초구
169,이정근,서울,서초구
170,이한준,서울,서초구
171,박성중,서울,서초구
172,김기영,서울,서초구
173,조순형,서울,서초구
174,김수근,서울,서초구
175,이종구,서울,강남구
176,김성곤,서울,강남구
177,김종훈,서울,강남구
178,전현희,서울,강남구
179,김광종,서울,강남구
180,이은재,서울,강남구
181,전원근,서울,
182,양한별,서울,강남구
183,양영철,서울,강남구
184,박인숙,서울,송파구
185,박성수,서울,송파구
186,김창남,서울,송파구
187,최명길,서울,송파구
188,이래협,서울,송파구
189,김영순,서울,송파구
190,채현,서울,송파구
191,김을동,서울,송파구
192,남인순,서울,송파구
193,차성환,서울,송파구
194,신동우,서울,강동구
195,진선미,서울,강동구
196,신동만,서울,강동구
197,박승진,서울,강동구
198,이재영,서울,강동구
199,심재권,서울,강동구
200,강연재,서울,강동구
201,김무성,부산,중구 영도구
202,김비오,부산,중구 영도구
203,이선자,부산,중구 영도구
204,유기준,부산,서구동구
205,이재강,부산,서구동구
206,임정석,부산,서구동구
207,나성린,부산,부산진구
208,김영춘,부산,부산진구
209,오승철,부산,부산진구
210,이헌승,부산,부산진구
211,조영진,부산,부산진구
212,이덕욱,부산,부산진구
213,김재하,부산,부산진구
214,이진복,부산,동래구
215,김우룡,부산,동래구
216,정상원,부산,동래구
217,박승환,부산,동래구
218,김정훈,부산,남구
219,이정환,부산,남구
220,서용교,부산,남구
221,박재호,부산,남구
222,유정기,부산,남구
223,박민식,부산,북구 강서구
224,전재수,부산,북구 강서구
225,김도읍,부산,북구 강서구
226,정진우,부산,북구 강서구
227,정규룡,부산,북구 강서구
228,,부산,해운대구
229,유영민,부산,해운대구
230,이병구,부산,해운대구
231,문만길,부산,해운대구
232,배덕광,부산,해운대구
233,윤준호,부산,해운대구
234,최선명,부산,해운대구
235,김척수,부산,사하구
236,최인호,부산,사하구
237,전창섭,부산,사하구
238,박경민,부산,사하구
239,박태원,부산,사하구
240,조경태,부산,사하구
241,오창석,부산,사하구
242,배관구,부산,사하구
243,유홍,부산,사하구
244,안중영,부산,사하구
245,최지웅,부산,사하구
246,김세연,부산,금정구
247,박종훈,부산,금정구
248,노창동,부산,금정구
249,김희정,부산,연제구
250,김해영,부산,연제구
251,유재중,부산,수영구
252,김성발,부산,수영구
253,배준현,부산,수영구
254,손수조,부산,사상구
255,배재정,부산,사상구
256,장제원,부산,사상구
257,윤상직,부산,기장군
258,조용우,부산,기장군
259,이창우,부산,기장군
260,박견목,부산,기장군
261,곽상도,대구,중구남구
262,김동열,대구,중구남구
263,최창진,대구,중구남구
264,김구,대구,중구남구
265,박창달,대구,중구남구
266,정종섭,대구,동구
267,황순규,대구,동구
268,성용모,대구,동구
269,류성걸,대구,동구
270,이승천,대구,동구
271,유승민,대구,동구
272,김상훈,대구,서구
273,서중현,대구,서구
274,손창민,대구,서구
275,정태옥,대구,북구
276,이현주,대구,북구
277,최석민,대구,북구
278,권은희,대구,북구
279,양명모,대구,북구
280,,대구,북구
281,박하락,대구,북구
282,홍의락,대구,북구
283,김문수,대구,수성구
284,김부겸,대구,수성구
285,이인선,대구,수성구
286,정기철,대구,수성구
287,주호영,대구,수성구
288,곽대훈,대구,달서구
289,변홍철,대구,달서구
290,윤재옥,대구,달서구
291,김태용,대구,달서구
292,조원진,대구,달서구
293,김부기,대구,달서구
294,조석원,대구,달서구
295,추경호,대구,달성군
296,조기석,대구,달성군
297,조정훈,대구,달성군
298,구성재,대구,달성군
299,배준영,인천,중구 동구 강화군 옹진군
300,김회창,인천,중구 동구 강화군 옹진군
301,조택상,인천,중구 동구 강화군 옹진군
302,안상수,인천,중구 동구 강화군 옹진군
303,홍일표,인천,남구
304,허종식,인천,남구
305,김충래,인천,남구
306,김정심,인천,남구
307,안귀옥,인천,남구
308,김성진,인천,남구
309,윤상현,인천,남구
310,정승연,인천,연수구
311,박찬대,인천,연수구
312,진의범,인천,연수구
313,민경욱,인천,연수구
314,윤종기,인천,연수구
315,한광원,인천,연수구
316,문대성,,남동구
317,박남춘,인천,
318,김명수,인천,남동구
319,임동수,인천,남동구
320,조전혁,인천,남동구
321,윤관석,인천,남동구
322,송기순,인천,남동구
323,정유섭,인천,부평구
324,이성만,인천,부평구
325,문병호,인천,부평구
326,조진형,인천,부평구
327,강창규,인천,부평구
328,홍영표,인천,부평구
329,이현웅,인천,부평구
330,오성규,인천,계양구
331,유동수,인천,계양구
332,이수봉,인천,계양구
333,윤형선,인천,계양구
334,송영길,인천,계양구
335,최원식,인천,계양구
336,이학재,인천,
337,김교흥,인천,서구
338,유길종,인천,서구
339,안생준,인천,서구
340,황우여,인천,서구
341,신동근,인천,서구
342,허영,인천,서구
343,한경노,광주,동구남구
344,최진,광주,동구남구
345,장병완,광주,동구남구
346,신나리,광주,동구남구
347,강도석,광주,동구남구
348,강운태,광주,동구남구
349,문충식,광주,동구남구
350,,광주,동구남구
351,박주선,광주,동구남구
352,황인용,광주,동구남구
353,양병현,광주,서구
354,송갑석,광주,서구
355,송기석,광주,서구
356,장화동,광주,서구
357,이은주,광주,서구
358,김연욱,광주,서구
359,양향자,광주,서구
360,천정배,광주,서구
361,강은미,광주,서구
362,고기담,광주,서구
363,김하중,광주,서구
364,정준호,광주,북구
365,김경진,광주,북구
366,장세레나,광주,북구
367,박대우,광주,북구
368,이인호,광주,북구
369,이형석,광주,북구
370,최경환,광주,북구
371,윤민호,광주,북구
372,노남수,광주,북구
373,이영수,광주,북구
374,정윤,광주,광산구
375,이용빈,광주,광산구
376,김동철,광주,광산구
377,나경채,광주,광산구
378,정형호,광주,광산구
379,김해정,광주,광산구
380,심정우,광주,광산구
381,이용섭,광주,광산구
382,권은희,광주,광산구
383,문정은,광주,광산구
384,최경미,광주,광산구
385,한남숙,광주,광산구
386,이장우,,동구
387,강래구,대전,동구
388,선병렬,대전,동구
389,정구국,대전,동구
390,이은권,대전,중구
391,송행수,대전,중구
392,유배근,대전,중구
393,송미림,대전,중구
394,이영규,대전,서구
395,박병석,대전,서구
396,김흥규,대전,서구
397,주무늬,대전,서구
398,이재선,대전,서구
399,박범계,대전,서구
400,이동규,대전,서구
401,김윤기,대전,서구
402,진동규,대전,유성구
403,조승래,대전,
404,고무열,대전,유성구
405,강영삼,대전,유성구
406,김신호,대전,유성구
407,이상민,대전,유성구
408,김학일,대전,유성구
409,이성우,대전,유성구
410,이경자,대전,유성구
411,정용기,대전,대덕구
412,박영순,대전,대덕구
413,김창수,대전,대덕구
414,손종표,대전,대덕구
415,정갑윤,,중구
416,이철수,울산,중구
417,서인채,울산,중구
418,이향희,울산,중구
419,이채익,울산,남구
420,심규명,울산,남구
421,박기준,울산,남구
422,박맹우,울산,남구
423,임동욱,울산,남구
424,송철호,울산,남구
425,안효대,울산,동구
426,이연희,울산,동구
427,유성용,울산,동구
428,김종훈,울산,동구
429,윤두환,울산,북구
430,윤종오,울산,북구
431,김두겸,울산,
432,정찬모,울산,울주군
433,권중건,울산,울주군
434,강길부,울산,울주군
435,전상환,울산,울주군
436,박종준,세종,세종특별자치시
437,문흥수,세종,세종특별자치시
438,구성모,세종,세종특별자치시
439,여미전,세종,세종특별자치시
440,이해찬,세종,세종특별자치시
441,박종희,경기,수원시
442,이찬열,경기,수원시
443,김재귀,경기,수원시
444,김상민,경기,수원시
445,백혜련,경기,수원시
446,이대의,경기,수원시
447,박승하,경기,수원시
448,김용남,경기,수원시
449,김영진,경기,수원시
450,박수영,경기,수원시
451,박광온,경기,수원시
452,김명수,경기,수원시
453,박원석,경기,수원시
454,강새별,경기,수원시
455,정미경,경기,수원시
456,김진표,경기,수원시
457,김용석,경기,수원시
458,김식,경기,수원시
459,변환봉,경기,성남시 수정구
460,김태년,경기,성남시 수정구
461,장영하,경기,성남시 수정구
462,장지화,경기,성남시 수정구
463,신상진,경기,성남시 중원구
464,은수미,경기,성남시 중원구
465,정환석,경기,성남시 중원구
466,권혁세,경기,성남시 분당구
467,김병관,경기,성남시 분당구
