show_id,type,title,release_year,rating,duration,month,date,year
80192420,Movie,Half Girlfriend,2017,TV-PG,129,January,2,2020
81035865,Movie,An Hour and a Half,2012,TV-14,87,April,26,2019
80147513,Movie,Stronger Than the World,2016,NR,123,February,11,2017
81147285,Movie,Deadcon,2019,TV-MA,78,January,16,2020
81137484,Movie,Elena,2012,TV-14,81,September,1,2019
60002003,Movie,Dragonheart: A New Beginning,2000,PG,84,January,1,2020
80145699,Movie,The B-Side: Elsa Dorfman's Portrait Photography,2016,TV-MA,76,October,31,2017
81018238,Movie,Samantaral,2017,TV-MA,110,September,15,2018
81086434,Movie,706,2019,TV-14,118,April,1,2019
80158485,Movie,Step Sisters,2018,TV-14,108,January,19,2018
80085566,Movie,The Other Side of the Wind,2018,R,122,November,2,2018
80164392,Movie,Berlin Syndrome,2017,R,116,August,25,2017
80191219,Movie,Lommbock,2017,TV-MA,106,November,9,2018
80194946,Movie,Franco Escamilla: Por la anécdota,2018,TV-MA,66,June,8,2018
80209751,Movie,The Trap,2017,TV-MA,91,April,1,2019
81066244,Movie,Aurora,2018,TV-14,98,April,25,2019
81016045,Movie,One Day,2016,TV-PG,135,September,5,2018
80105356,Movie,Alive and Kicking,2016,TV-14,89,August,10,2017
81037373,Movie,The Sky Is Pink,2019,TV-14,143,December,11,2019
70033579,Movie,Shark Busters,2002,TV-14,92,August,16,2018
80220761,Movie,After Porn Ends 3,2018,TV-MA,87,December,30,2018
80218104,Movie,Sebastian Maniscalco: Stay Hungry,2019,TV-MA,65,January,15,2019
80244078,Movie,The Silence,2017,TV-MA,90,March,1,2018
81072917,Movie,Gatao 2: Rise of the King,2018,TV-MA,126,May,9,2019
80240715,Movie,ROMA,2018,R,135,December,14,2018
80242378,Movie,Paradox,2018,TV-MA,74,March,23,2018
70298393,Movie,Singh Saab the Great,2013,TV-14,143,July,15,2017
70296742,Movie,War Chhod Na Yaar,2013,TV-14,109,March,2,2019
80236574,Movie,Parrot Sketch Not Included: Twenty Years of Monty Python,1989,TV-14,72,October,2,2018
80196584,Movie,Singularity,2017,PG-13,92,June,1,2018
70011219,Movie,The Phantom of the Opera,2004,PG-13,141,June,1,2019
81105525,Movie,Memory Games,2018,TV-14,86,June,19,2019
80125979,Movie,#realityhigh,2017,TV-14,99,September,8,2017
81005364,Movie,Zero,2018,TV-14,159,May,21,2019
80048218,Movie,He Named Me Malala,2015,PG-13,89,June,1,2018
70301484,Movie,Kraftidioten,2014,TV-MA,117,January,5,2017
81090128,Movie,The Creative Brain,2019,TV-14,53,April,16,2019
80221498,Movie,Mountain,2017,PG,74,October,1,2018
80025495,Movie,Dark Places,2015,R,113,July,26,2018
81047901,Movie,Surga Yang Tak Dirindukan 2,2017,TV-14,119,January,28,2019
81002850,Movie,5CM,2012,TV-14,126,September,28,2018
80999063,Movie,Super Monsters Save Halloween,2018,TV-Y,25,October,5,2018
80134433,Movie,Incir Receli 2,2014,TV-14,103,March,10,2017
81020005,Movie,How to Get Over a Breakup,2018,TV-MA,104,October,20,2018
80036657,Movie,The D Train,2015,R,101,April,2,2017
80038296,Movie,Aziz Ansari Live at Madison Square Garden,2015,TV-MA,58,March,6,2015
70294790,Movie,Grand Masti,2013,TV-MA,93,March,1,2018
80236278,Movie,Deewana Main Deewana,2013,TV-14,107,July,1,2018
70290905,Movie,A 2nd Chance,2011,PG,95,July,1,2017
80188596,Movie,Love Off the Cuff,2017,TV-MA,120,January,31,2019
81026251,Movie,Taylor Swift reputation Stadium Tour,2018,TV-PG,125,December,31,2018
17672040,Movie,The River Wild,1994,PG-13,111,September,1,2018
80148070,Movie,Blessed Benefit,2016,TV-14,83,October,13,2017
80148223,Movie,Forever Pure,2016,TV-MA,87,May,29,2017
80992672,Movie,The Breaker Upperers,2018,TV-MA,82,February,15,2019
81036530,Movie,Drink Drank Drunk,2016,TV-MA,92,August,24,2019
80017099,Movie,A Little Chaos,2014,R,113,April,17,2019
60024976,Movie,Jerry Seinfeld: Comedian,2002,R,81,November,7,2017
70118368,Movie,Merantau,2009,R,112,February,13,2019
80173606,Movie,The Motive,2017,TV-MA,114,August,17,2018
80108147,Movie,How to Win the US Presidency,2016,TV-PG,51,August,1,2016
80995737,Movie,Deon Cole: Cole Hearted,2019,TV-MA,70,October,8,2019
80230555,Movie,Elles étaient en guerre 1939-1945,2015,TV-14,92,March,1,2018
81035866,Movie,The Player,2012,TV-MA,110,June,20,2019
80235472,Movie,Death House,2017,R,88,May,5,2019
70112731,Movie,Shorts,2009,PG,89,July,1,2019
70113005,Movie,District 9,2009,R,112,November,4,2019
60025674,Movie,Rocky V,1990,PG-13,104,August,1,2019
80159877,Movie,Alone in Berlin,2016,R,103,February,15,2019
80237006,Movie,Mere Pyare Prime Minister,2019,TV-MA,103,May,31,2019
81017530,Movie,The Rebound,2016,TV-MA,77,February,28,2019
80114989,Movie,Sword Master,2016,TV-MA,108,June,10,2017
81083791,Movie,Across The Line,2015,TV-MA,88,April,1,2019
80196217,Movie,Functional Fitness,2016,TV-MA,106,January,1,2018
60004471,Movie,Evolution,2001,PG-13,102,November,20,2019
80172471,Movie,Koko: The Gorilla Who Talks,2016,TV-G,56,March,1,2017
60034929,Movie,She's Gotta Have It,1986,R,84,September,1,2017
70205125,Movie,Secret,2007,TV-PG,101,July,1,2018
80165221,Movie,LEGO Marvel Super Heroes: Avengers Reassembled!,2015,TV-Y7,22,August,6,2017
80059342,Movie,Natascha Kampusch: The Whole Story,2010,TV-14,51,May,15,2017
70170181,Movie,Hisss,2010,TV-MA,97,December,1,2017
20129240,Movie,Small Soldiers,1998,PG-13,110,June,1,2019
70105596,Movie,The Time Traveler's Wife,2009,PG-13,107,October,1,2019
80227673,Movie,Kabali (Hindi Version),2016,TV-MA,148,December,15,2017
81024703,Movie,Dushman,2017,TV-14,141,October,1,2018
80174897,Movie,Like Father,2018,TV-MA,104,August,3,2018
80171705,Movie,Wedding Unplanned,2017,TV-MA,94,October,19,2017
80997870,Movie,Flying Guillotine 2,1978,TV-MA,88,July,31,2018
